player_id,player,type,yr1_cap_percent_Y1S2,yrs_Y1S2,total_Y1S2,yr1_cap_percent_S1Y2,yrs_S1Y2,total_S1Y2
4037,Kyrie Irving,UFA,0.248,4,142910000,0.2483,3,104790000
4047,Nikola Vučević,UFA,0.201,4,115800000,0.1899,4,109400000
4257,Jerami Grant,UFA,0.1717,4,98960000,0.1818,4,104750000
4317,D'Angelo Russell,UFA,0.1602,4,92300000,0.1696,4,97710000
3801,Brook Lopez,UFA,0.1751,4,100890000,0.1546,4,89060000
4089,Harrison Barnes,UFA,0.1534,4,88380000,0.161,4,92760000
4412,Jakob Poeltl,UFA,0.1406,4,80990000,0.1327,4,76470000
4698,Cameron Johnson,RFA,0.1255,4,72340000,0.1222,4,70430000
4180,Mason Plumlee,UFA,0.1313,4,75640000,0.1136,4,65480000
4778,P.J. Washington,RFA,0.1276,4,73520000,0.1165,4,67130000
4383,Caris LeVert,UFA,0.1219,4,70240000,0.1031,4,59420000
4906,Austin Reaves,RFA,0.0992,3,41850000,0.1109,4,63880000
3849,Russell Westbrook,UFA,0.0906,1,12140000,0.1163,1,15580000
4313,Christian Wood,UFA,0.0947,2,26010000,0.105,2,28830000
4341,Kelly Oubre Jr.,UFA,0.0858,2,23570000,0.0979,2,26900000
4887,Tre Jones,RFA,0.0895,3,37770000,0.0935,3,39470000
4720,Grant Williams,RFA,0.0805,3,33980000,0.0843,3,35600000
4494,Dillon Brooks,UFA,0.0747,2,20510000,0.0741,2,20360000
4703,Coby White,RFA,0.0625,2,17180000,0.0692,2,19020000
4907,Ayo Dosunmu,RFA,0.0684,3,28890000,0.0615,3,25960000
4771,Naz Reid,UFA,0.059,2,16220000,0.0649,2,17830000
4763,Max Strus,UFA,0.058,2,15940000,0.065,2,17840000
4157,Dennis Schröder,UFA,0.0523,1,7010000,0.0678,1,9090000
4570,Torrey Craig,UFA,0.0558,2,15330000,0.0623,2,17120000
4610,Drew Eubanks,UFA,0.0535,2,14700000,0.0641,2,17620000
4124,Patrick Beverley,UFA,0.0544,2,14940000,0.053,2,14570000
4568,Thomas Bryant,UFA,0.0491,2,13500000,0.051,2,14020000
4663,Moritz Wagner,UFA,0.0516,2,14170000,0.0478,2,13120000
4239,Dwight Powell,UFA,0.0434,1,5820000,0.0549,1,7360000
4760,Matisse Thybulle,RFA,0.0531,2,14600000,0.045,2,12370000
3830,Kevin Love,UFA,0.0512,2,14070000,0.0461,2,12670000
4784,Rui Hachimura,RFA,0.0399,1,5350000,0.0547,2,15030000
4961,Jock Landale,RFA,0.0503,3,21250000,0.0436,2,11980000
4261,Joe Ingles,UFA,0.0359,1,4820000,0.0522,1,6990000
4678,Troy Brown Jr.,UFA,0.0433,2,11890000,0.0448,2,12300000
4336,Josh Richardson,UFA,0.0445,2,12220000,0.0407,2,11170000
4405,Georges Niang,UFA,0.0426,2,11710000,0.0408,1,5460000
4484,Damion Lee,UFA,0.0399,2,10960000,0.0393,2,10790000
4725,Jalen McDaniels,UFA,0.0328,1,4390000,0.0458,2,12580000
4717,Gabe Vincent,UFA,0.0404,2,11100000,0.0371,2,10190000
4671,Shake Milton,UFA,0.0411,2,11300000,0.0358,1,4790000
4874,Paul Reed,RFA,0.0364,2,10010000,0.0381,2,10460000
4646,Keita Bates-Diop,UFA,0.0387,2,10640000,0.0354,2,9730000
4050,Reggie Jackson,UFA,0.0418,2,11470000,0.0318,1,4260000
4653,Lonnie Walker IV,UFA,0.0327,1,4390000,0.0403,2,11060000
4369,Trey Lyles,UFA,0.0366,2,10040000,0.0336,1,4500000
4203,Seth Curry,UFA,0.0313,1,4190000,0.0382,1,5120000
4732,Jaylen Nowell,UFA,0.0374,2,10280000,0.0319,2,8750000
4810,Anthony Lamb,RFA,0.0356,2,9790000,0.0336,2,9240000
4644,Josh Okogie,UFA,0.0255,1,3410000,0.0333,2,9130000
4800,Wenyen Gabriel,UFA,0.0292,2,8030000,0.0257,2,7060000
4091,Jae Crowder,UFA,0.0262,1,3500000,0.026,1,3490000
4490,Dennis Smith Jr.,UFA,0.0231,1,3100000,0.029,1,3890000
4621,Hamidou Diallo,UFA,0.0241,1,3220000,0.0262,1,3510000
4794,Ty Jerome,UFA,0.03,2,8250000,0.0202,1,2710000
4131,Terrence Ross,UFA,0.0238,1,3180000,0.0262,1,3510000
3992,Cory Joseph,UFA,0.0226,1,3030000,0.0263,1,3520000
3984,Bismack Biyombo,UFA,0.0243,1,3250000,0.0238,1,3190000
4773,Nickeil Alexander-Walker,RFA,0.0237,1,3170000,0.023,1,3080000
4684,Yuta Watanabe,UFA,0.0264,2,7260000,0.0203,2,5580000
3761,Jeff Green,UFA,0.0235,1,3150000,0.0222,1,2970000
4255,JaMychal Green,UFA,0.0218,1,2920000,0.0221,1,2960000
3810,DeAndre Jordan,UFA,0.0212,1,2850000,0.0213,1,2850000
4746,Kendrick Nunn,UFA,0.0221,1,2960000,0.0184,1,2470000
4390,Dario Šarić,UFA,0.0217,1,2900000,0.0172,1,2310000
4069,Austin Rivers,UFA,0.019,1,2540000,0.0138,1,1850000
4730,Jaxson Hayes,RFA,0,0,0,0.0314,2,8630000
4697,Cam Reddish,RFA,0,0,0,0.0281,2,7720000
4707,Darius Bazley,RFA,0,0,0,0.0273,1,3660000
4292,T.J. Warren,UFA,0,0,0,0.0207,1,2770000
4886,Théo Maledon,RFA,0,0,0,0.0198,2,5430000
4140,Will Barton,UFA,0,0,0,0.0169,1,2260000
4792,Terence Davis,UFA,0,0,0,0.0161,1,2160000
4729,Javonte Green,UFA,0,0,0,0.0159,1,2130000
4597,Chimezie Metu,UFA,0,0,0,0.0157,2,4330000
3867,Danny Green,UFA,0,0,0,0.0154,1,2070000
4984,Mac McClung,RFA,0,0,0,0.0152,2,4170000
3816,George Hill,UFA,0,0,0,0.0138,1,1850000
4783,Romeo Langford,RFA,0,0,0,0.0138,2,3790000
4672,Svi Mykhailiuk,UFA,0,0,0,0.0134,2,3690000
5025,A.J. Green,RFA,0,0,0,0,0,0
4582,Aaron Holiday,UFA,0,0,0,0,0,0
4142,Alex Len,UFA,0,0,0,0,0,0
3500,Andre Iguodala,UFA,0,0,0,0,0,0
3920,Blake Griffin,UFA,0,0,0,0,0,0
4306,Boban Marjanović,UFA,0,0,0,0,0,0
5033,Buddy Boeheim,RFA,0,0,0,0,0,0
4155,Cody Zeller,UFA,0,0,0,0,0,0
4923,Dalano Banton,RFA,0,0,0,0,0,0
5040,Darius Days,RFA,0,0,0,0,0,0
4924,David Duke Jr.,RFA,0,0,0,0,0,0
4158,Dewayne Dedmon,UFA,0,0,0,0,0,0
5043,Dominick Barlow,RFA,0,0,0,0,0,0
5045,Dru Smith,RFA,0,0,0,0,0,0
4929,Duane Washington Jr.,RFA,0,0,0,0,0,0
4829,Dylan Windler,RFA,0,0,0,0,0,0
4325,Frank Kaminsky,UFA,0,0,0,0,0,0
4500,Frank Ntilikina,UFA,0,0,0,0,0,0
4934,Gabe York,RFA,0,0,0,0,0,0
3817,Goran Dragić,UFA,0,0,0,0,0,0
4167,Gorgui Dieng,UFA,0,0,0,0,0,0
5047,Isaiah Mobley,RFA,0,0,0,0,0,0
3946,Ish Smith,UFA,0,0,0,0,0,0
5062,JD Davison,RFA,0,0,0,0,0,0
5050,Jack White,RFA,0,0,0,0,0,0
5057,Jamal Cain,RFA,0,0,0,0,0,0
3881,James Johnson,UFA,0,0,0,0,0,0
4952,Jared Butler,RFA,0,0,0,0,0,0
5059,Jared Rhoden,RFA,0,0,0,0,0,0
4956,Jay Huff,RFA,0,0,0,0,0,0
4958,Jeff Dowtin,RFA,0,0,0,0,0,0
5065,John Butler,RFA,0,0,0,0,0,0
5067,Johnny Juzang,RFA,0,0,0,0,0,0
4739,Juan Toscano-Anderson,UFA,0,0,0,0,0,0
5070,Julian Champagnie,RFA,0,0,0,0,0,0
4102,Justin Holiday,UFA,0,0,0,0,0,0
4338,Justise Winslow,UFA,0,0,0,0,0,0
5073,Kendall Brown,RFA,0,0,0,0,0,0
5076,Keon Ellis,RFA,0,0,0,0,0,0
5078,Lester Quinones,RFA,0,0,0,0,0,0
4753,Louis King,UFA,0,0,0,0,0,0
4982,Luka Garza,RFA,0,0,0,0,0,0
4862,Mamadi Diakite,RFA,0,0,0,0,0,0
4043,Markieff Morris,UFA,0,0,0,0,0,0
