player_id,player,yr1_cap_percent_Y1S2,yrs_Y1S2,total_Y1S2,yr1_cap_percent_S1Y2,yrs_S1Y2,total_S1Y2,option_type,option_amt
4107,Khris Middleton,0.0667,1,8930000,0.072,1,9640000,Player,40396552
4085,Draymond Green,0.1203,2,33050000,0.1189,3,50180000,Player,27586225
4403,Fred VanVleet,0.2015,4,116110000,0.1945,4,112070000,Player,22824074
4426,Malik Beasley,0.0525,2,14420000,0.0447,2,12280000,Club,16524106
3812,Derrick Rose,0,0,0,0,0,0,Club,15596339
4534,Kyle Kuzma,0.0857,1,11480000,0.1136,2,31200000,Player,13000000
4594,Bruce Brown,0.1085,4,62520000,0.0985,4,56750000,Player,6802950
4608,Donte DiVincenzo,0.082,3,34610000,0.0807,3,34060000,Player,4725000
4397,Derrick Jones Jr.,0.0311,2,8560000,0.0248,2,6820000,Player,3360000
4182,Michael Carter-Williams,0,0,0,0,0,0,Club,3051144
4649,Kevin Knox,0,0,0,0,0,0,Club,3000000
4349,Montrezl Harrell,0,0,0,0.0284,1,3800000,Player,2760026
4460,Willy Hernangómez,0,0,0,0.0158,1,2120000,Club,2559942
4638,Jevon Carter,0.0476,2,13090000,0.0538,2,14790000,Player,2239943
4688,Admiral Schofield,0,0,0,0,0,0,Club,1997238
4868,Nathan Knight,0,0,0,0,0,0,Club,1997238
4981,Lindy Waters III,0.0266,2,7300000,0.0177,2,4850000,Club,1927896
4939,Herbert Jones,0.1147,4,66110000,0.1006,3,42440000,Club,1836096
